imagepath,label
00011/frame_389.jpg,"The car's front doors are both closed, while the rear door on the left is closed and the right rear door is open. Additionally, the hood is open."
11101/frame_69.jpg,"The car's front doors are both open, with the left side and right side standing ajar. Its rear left door remains open, while the rear right door is closed. Additionally, the hood is open, revealing what’s underneath."
11001/frame_11.jpg,"The car's front doors are both open, with the left door and the right door swung wide open. Its rear doors remain closed, keeping the left and right rear doors shut. The hood of the vehicle is also open, revealing the engine compartment."
01000/frame_228.jpg,The car's front left door is closed while the front right door is open. Both rear doors are closed. The hood remains closed.
01011/frame_136.jpg,"The car's front doors are configured with the left door closed and the right door open, while the rear doors have the left door closed and the right door open as well. Additionally, the hood remains open."
10101/frame_235.jpg,"The car's front left door is open while the front right door remains closed. The rear left door is also open, whereas the rear right door is closed. Additionally, the hood is open."
11110/frame_13.jpg,The car's front left door is open while the front right door is also open. The rear left door remains open along with the rear right door. The hood is closed.
01101/frame_365.jpg,"The car's front left door is closed, while the front right door is open. The rear left door is open, but the rear right door remains closed. Additionally, the hood is open."
11000/frame_256.jpg,"The car's front doors are open on both the left and right sides, while the rear doors remain closed. The hood of the vehicle is also closed."
00110/frame_40.jpg,"The car's front doors are both closed, while the rear doors are open on the left and right sides. The hood remains closed."
00000/frame_160.jpg,"The car's front doors are both closed, with the left and right doors securely shut. The rear doors are also closed, ensuring everything is tightly sealed. Additionally, the hood remains closed, completing the overall secure state of the vehicle."
11101/frame_119.jpg,"The car's front doors are both open, with the left side open and the right side open. Its rear doors show the left side open while the right side remains closed. Additionally, the hood is open, indicating it is not closed."
01001/frame_226.jpg,"The car's front doors show the left side as closed while the right side is open. At the rear, both the left and right doors are closed. Additionally, the hood remains open."
11101/frame_166.jpg,"The car's front doors are both open, with the left and right doors wide open. Its rear door on the left side is also open, while the right rear door remains closed. Additionally, the hood is open, revealing the engine bay beneath."
10110/frame_180.jpg,"The car's front left door is open while the front right door remains closed. The rear doors are both open, with the left and right sides accessible. The hood is securely closed, completing the overall condition of the vehicle."
00000/frame_245.jpg,"The car's front doors are both closed, while the rear doors remain shut as well. The hood is also closed, ensuring everything is secure."
11011/frame_54.jpg,"The car's front doors are both open, with the left side and the right side both accessible. The rear left door remains closed, while the right rear door is open. Additionally, the hood of the vehicle is currently open."
00100/frame_202.jpg,The car's front doors are both closed while the rear door on the left remains open and the right rear door is closed. Its hood is securely closed.
10000/frame_220.jpg,"The car's front doors are in different states, with the left door open and the right door closed. The rear doors are both closed, ensuring the back is secure. Additionally, the hood is closed, keeping the engine compartment covered."
01101/frame_223.jpg,"The car's front left door is closed, while the front right door is open. The rear left door remains open, contrasting with the rear right door, which is closed. Additionally, the hood of the vehicle is open."
01100/frame_372.jpg,"The car's front doors are in different states, with the left door closed and the right door open. Meanwhile, the rear doors show a similar variation: the left side is open, and the right side is closed. The hood remains closed."
10100/frame_176.jpg,"The car's front left door and rear left door are open, while the front right door and rear right door are closed. The hood remains closed."
01011/frame_107.jpg,"The car's front left door is closed, while the front right door is open. The rear left door remains closed, whereas the rear right door is open. Additionally, the hood is open."
11011/frame_211.jpg,"The car's front doors are both open, with the left door and the right door swung wide. The rear door on the left remains closed, while the right rear door is open. Additionally, the hood is currently open."
10001/frame_90.jpg,The car's front left door is open while the front right door is closed. Both rear doors are closed. The hood is open.
