file_name,caption
00110/frame_226.jpg,"The car's front doors are both closed, while the rear doors are open on both sides. The hood is secured shut, remaining closed."
10100/frame_54.jpg,"The car's front left door is open while the front right door remains closed. Its rear left door is also open, whereas the rear right door stays closed. The hood is currently closed."
11000/frame_43.jpg,"The car's front doors are both open, with the left door and the right door ajar. The rear doors remain closed, securely shut on both sides. The hood is also closed, completing the current state of the vehicle."
00011/frame_42.jpg,"The car's front doors are both closed, while the rear passenger side door remains open, and the rear driver side door is closed. Additionally, the hood is open."
11111/frame_234.jpg,"The car's front doors are both open, with the left and right sides ajar. The rear doors are also open on both the left and right, allowing easy access. The hood remains open, giving a clear view of the engine compartment."
11010/frame_37.jpg,"The car's front doors are both open, with the left side and the right side ajar. Its rear doors show that the left door is closed, while the right door remains open. The hood is kept closed, completing the current state of the vehicle."
00000/frame_233.jpg,"The car's front doors are closed on the left and right sides, while the rear doors are also closed on both sides. The hood remains closed as well."
01000/frame_337.jpg,"The car's front left door is closed while the front right door is open. Both rear doors are closed, and the hood remains closed."
01011/frame_216.jpg,"The car's front doors are positioned with the left door closed and the right door open, while the rear doors show the left closed and the right open. Additionally, the hood is currently open, revealing the engine compartment."
00000/frame_151.jpg,"The car's front doors are closed on both the left and right sides, and the rear doors are also shut on both the left and right. The hood is securely closed as well."
11111/frame_311.jpg,"The car's front doors are both open, with the left and right side ajar. Its rear doors are also open on both sides, allowing easy access. The hood is likewise open, providing a clear view of the engine bay."
01011/frame_64.jpg,"The car's front doors have the left side closed and the right side open, while the rear doors are also closed on the left and open on the right. Additionally, the hood is open."
01011/frame_220.jpg,"The car's front doors are positioned with the left closed and the right open, while the rear doors show the left closed and the right open as well. Additionally, the hood remains open."
01001/frame_152.jpg,"The car's front left door is closed, while the front right door is open. Both rear doors are closed. The hood is open."
10010/frame_166.jpg,"The car's front left door is open while the front right door remains closed. At the rear, the left door is closed, but the right rear door is open. The hood is closed."
00111/frame_312.jpg,"The car's front doors are both closed, while the rear doors are open on both sides. The hood remains open as well."
00111/frame_364.jpg,"The car's front doors are both closed, while the rear doors are left open and right open. Additionally, the hood is currently open."
01110/frame_162.jpg,"The car's front left door is closed while the front right door is open. The rear left door is open, along with the rear right door, both left and right. The hood remains closed."
11001/frame_166.jpg,"The car's front doors are both open, with the left door and right door both swung wide. Its rear doors remain closed, with the left and right doors securely shut. The hood is also open, revealing the engine compartment."
